token,tokenToMatch,endReason,tag,tagIndex
",",",",n,,
Late,late,s,,
wit,wit,s,,
and,and,s,,
cheated,cheated,s,,
wisdom,wisdom,s,strd,0
to,to,s,considrd,0
be,be,s,considrd,0
counted,counted,n,,
Next,next,s,,
neighbors,neighbors,s,strd,0
unto,unto,s,,
folly,folly,c,,
.,.,s,,
Shepherds,shepherds,s,strd,0
now,now,c,,
",",",",n,,
The,the,s,considrd,0
holier,holier,s,,
that,that,s,considrd,0
they,they,s,considrd,0
seem,seem,s,strd,0
in,in,s,considrd,0
outward,outward,s,,
show,show,c,strd,0
",",",",n,,
The,the,s,considrd,0
hollower,hollower,s,,
are,are,s,,
their,their,s,considrd,0
hearts,hearts,c,,
.,.,s,,
By,by,s,considrd,0
subtle,subtle,s,strd,0
sophistry,sophistry,n,,
(,(,c,,
As,as,s,considrd,0
I,i,s,considrd,0
have,have,s,considrd,0
heard,heard,c,,
),),s,,
the,the,s,considrd,0
best,best,s,,
Philosophy,philosophy,n,,
May,may,s,,
be,be,s,considrd,0
perverted,perverted,c,,
.,.,s,,
And,and,s,,
men's,men's,s,strd,0
flatteries,flatteries,n,,
Are,are,s,,
just,just,s,strd,0
like,like,s,,
Circes,circes,s,,
riches,riches,c,,
",",",",s,,
which,which,s,considrd,0
can,can,s,,
turn,turn,n,strd,0
Vain,vain,s,,
glorious,glorious,s,,
fools,fools,s,strd,0
to,to,s,considrd,0
Asses,asses,c,,
",",",",s,,
credulous,credulous,s,,
Fools,fools,n,strd,0
To,to,s,considrd,0
Woodcocks,woodcocks,c,,
",",",",s,,
pretty,pretty,s,,
wanton,wanton,s,,
Fools,fools,s,strd,0
to,to,s,considrd,0
Apes,apes,c,,
",",",",n,,
And,and,s,,
proud,proud,s,,
Fools,fools,s,strd,0
into,into,s,considrd,0
Peacocks,peacocks,c,,
.,.,nn,,
But,but,s,,
amongst,amongst,s,,
these,these,c,,
",",",",n,,
Amphrisa,amphrisa,s,,
had,had,s,considrd,0
no,no,s,considrd,0
place,place,c,,
.,.,nn,,
See,see,c,,
",",",",s,,
here,here,s,,
she,she,s,considrd,0
comes,comes,n,,
That,that,s,considrd,0
for,for,s,considrd,0
her,her,s,,
self,self,s,strd,0
can,can,s,,
answer,answer,c,,
.,.,nn,,
But,but,s,,
'twere,'twere,s,,
sin,sin,n,strd,0
In,in,s,considrd,0
us,us,c,,
",",",",s,,
not,not,s,,
to,to,s,considrd,0
be,be,s,considrd,0
answered,answered,c,strd,0
",",",",s,,
thus,thus,s,,
to,to,s,considrd,0
suffer,suffer,s,,
her,her,n,,
To,to,s,considrd,0
pale,pale,s,,
the,the,s,considrd,0
cheerful,cheerful,s,strd,0
blood,blood,s,strd,0
in,in,s,considrd,0
her,her,s,,
far,far,s,strd,0
cheeks,cheeks,c,,
",",",",n,,
Through,through,s,,
wilful,wilful,s,strd,0
passion,passion,c,,
.,.,s,,
Which,which,s,considrd,0
I,i,s,strd,0
Will,will,s,strd,1
not,not,s,,
endure,endure,c,,
.,.,nn,,
Then,then,s,,
rowse,rowse,s,,
her,her,s,,
from,from,s,,
these,these,s,,
dumps,dumps,c,,
.,.,nn,,
You,you,s,strd,0
Are,are,s,strd,1
sad,sad,c,,
",",",",s,,
Amphrisa,amphrisa,c,,
:,:,n,,
Sweet,sweet,s,,
may,may,s,,
we,we,s,considrd,0
know,know,s,,
the,the,s,considrd,0
cause,cause,c,,
?,?,n,,
Amphrisa,amphrisa,c,,
.,.,s,,
You,you,s,considrd,0
have,have,s,considrd,0
prevented,prevented,n,,
A,a,s,considrd,0
strange,strange,s,,
conceit,conceit,s,,
which,which,s,considrd,0
somewhat,somewhat,s,,
troubled,troubled,s,,
me,me,c,,
;,;,n,,
But,but,s,,
by,by,s,considrd,0
your,your,s,,
interruption,interruption,s,,
almost,almost,s,,
lost,lost,c,,
.,.,nn,,
Nay,nay,s,,
recollect,recollect,s,,
your,your,s,,
self,self,c,strd,0
",",",",s,,
pray,pray,s,,
let,let,s,,
us,us,s,,
hear't,hear't,c,,
.,.,nn,,
I,i,s,considrd,0
was,was,s,,
thinking,thinking,c,,
",",",",s,,
why,why,s,,
Parrasius,parrasius,c,,
",",",",s,,
drawing,drawing,s,,
Youth,youth,c,,
",",",",n,,
Made,made,s,,
Love,love,s,,
to,to,s,considrd,0
tickle,tickle,s,,
one,one,s,,
side,side,s,,
with,with,s,considrd,0
a,a,s,considrd,0
feather,feather,c,,
",",",",n,,
To,to,s,considrd,0
move,move,s,,
a,a,s,considrd,0
smile,smile,c,,
;,;,s,,
and,and,s,,
with,with,s,considrd,0
the,the,s,considrd,0
other,other,s,,
hand,hand,n,,
To,to,s,considrd,0
sting,sting,s,,
it,it,s,,
with,with,s,considrd,0
a,a,s,considrd,0
Scorpion,scorpion,c,,
.,.,nn,,
You,you,s,strd,0
Are,are,s,strd,1
stung,stung,s,,
then,then,c,,
.,.,n,,
But,but,s,,
I,i,s,considrd,0
was,was,s,,
thinking,thinking,s,,
on,on,s,,
Praxiteles,praxiteles,c,,
",",",",n,,
Who,who,s,considrd,0
drew,drew,s,,
his,his,s,considrd,0
mistress,mistress,s,strd,0
thus,thus,c,,
:,:,s,,
Look,look,s,strd,0
on,on,s,,
her,her,s,,
one,one,s,,
way,way,c,,
",",",",n,,
She,she,s,considrd,0
laughed,laughed,s,strd,0
upon,upon,s,,
him,him,c,,
:,:,s,,
Strait,strait,s,,
before,before,c,,
",",",",s,,
she,she,s,considrd,0
wept,wept,c,,
:,:,n,,
But,but,s,,
change,change,s,,
the,the,s,considrd,0
side,side,c,,
",",",",s,,
and,and,s,,
cast,cast,s,,
your,your,s,,
eye,eye,s,,
adverse,adverse,c,,
",",",",n,,
And,and,s,,
then,then,s,,
she,she,s,considrd,0
appeared,appeared,s,strd,0
sleeping,sleeping,c,,
.,.,s,,
And,and,s,,
so,so,s,,
you,you,c,considrd,0
",",",",n,,
Fit,fit,s,,
but,but,s,,
your,your,s,,
phansies,phansies,s,,
unto,unto,s,,
such,such,s,,
a,a,s,considrd,0
face,face,c,,
",",",",n,,
You,you,s,strd,0
Will,will,s,strd,1
never,never,s,strd,0
complain,complain,s,,
of,of,s,considrd,0
servant,servant,c,,
.,.,nn,,
Then,then,s,,
it,it,s,,
seems,seems,c,,
",",",",n,,
My,my,s,considrd,0
storie's,storie's,s,,
told,told,s,,
aforehand,aforehand,c,,
.,.,nn,,
Yes,yes,c,,
",",",",s,,
and,and,s,,
rumor'd,rumor'd,n,,
Through,through,s,,
all,all,s,,
Arcadia,arcadia,c,,
.,.,nn,,
And,and,s,,
none,none,s,,
pity,pity,s,strd,0
me,me,c,,
?,?,nn,,
There,there,s,strd,0
Is,is,s,strd,1
none,none,s,,
so,so,s,,
marble,marble,s,,
brested,brested,c,,
",",",",s,,
but,but,s,,
does,does,s,strd,0
melt,melt,n,,
To,to,s,considrd,0
hear,hear,s,strd,0
of,of,s,considrd,0
your,your,s,,
disaster,disaster,c,,
.,.,nn,,
Is,is,s,considrd,0
there,there,s,considrd,0
one,one,c,,
",",",",n,,
To,to,s,considrd,0
whom,whom,s,,
the,the,s,considrd,0
cause,cause,s,,
of,of,s,considrd,0
my,my,s,considrd,0
disease,disease,s,,
is,is,s,considrd,0
known,known,c,strd,0
",",",",n,,
That,that,s,considrd,0
can,can,s,,
prescribe,prescribe,s,,
me,me,s,,
cure,cure,s,,
for,for,c,strd,0
it,it,c,strd,1
?,?,nn,,
Without,without,s,,
feeling,feeling,n,,
Your,your,s,,
pulse,pulse,c,,
",",",",s,,
I,i,s,considrd,0
know,know,s,,
the,the,s,considrd,0
nature,nature,s,,
of,of,s,considrd,0
your,your,s,,
grief,grief,c,strd,0
:,:,n,,
You,you,s,considrd,0
have,have,s,considrd,0
an,an,s,,
heat,heat,c,strd,0
",",",",s,,
on,on,s,,
which,which,s,considrd,0
a,a,s,considrd,0
coldness,coldness,s,strd,0
waits,waits,c,,
",",",",n,,
A,a,s,considrd,0
pain,pain,s,strd,0
that,that,s,considrd,0
is,is,s,considrd,0
endured,endured,s,strd,0
with,with,s,considrd,0
pleasantness,pleasantness,c,strd,0
",",",",n,,
And,and,s,,
makes,makes,s,,
those,those,s,,
sweets,sweets,s,,
you,you,s,considrd,0
eat,eat,s,,
have,have,s,considrd,0
bitter,bitter,s,,
taste,taste,c,,
:,:,n,,
^^,^^,s,,
puts,puts,s,,
eyes,eyes,s,strd,0
in,in,s,considrd,0
your,your,s,,
thoughts,thoughts,c,,
",",",",s,,
ears,ears,s,strd,0
in,in,s,considrd,0
your,your,s,,
heart,heart,c,,
:,:,n,,
^Twas,^twas,s,,
by,by,s,considrd,0
desire,desire,s,,
first,first,s,,
bred,bred,c,,
",",",",s,,
by,by,s,considrd,0
delight,delight,s,,
nursed,nursed,c,strd,0
",",",",n,,
And,and,s,,
has,has,s,strd,0
of,of,s,considrd,0
late,late,s,,
been,been,s,,
weaned,weaned,s,strd,0
by,by,s,considrd,0
jelousie,jelousie,c,,
.,.,nn,,
But,but,s,,
how,how,s,,
can,can,s,,
these,these,s,,
disgusts,disgusts,s,,
be,be,s,considrd,0
remedied,remedied,c,strd,0
",",",",n,,
Which,which,s,considrd,0
Reason,reason,s,,
never,never,s,considrd,0
yet,yet,s,,
could,could,s,,
comprehend,comprehend,c,,
