token,tokenToMatch,endReason,tag,tagIndex
above,above,s,strd,0
the,the,s,considrd,0
rest,rest,c,,
:,:,n,,
By,by,s,considrd,0
how,how,s,,
much,much,s,,
we,we,s,considrd,0
deserve,deserve,s,strd,0
it,it,s,,
least,least,c,,
.,.,n,,
Long,long,s,,
live,live,s,strd,0
ORIANA,oriana,n,,
To,to,s,considrd,0
exceed,exceed,s,,
(,(,c,,
whom,whom,s,,
she,she,s,strd,0
succeeds,succeeds,c,,
),),s,,
our,our,s,,
late,late,s,,
DIANA,diana,c,,
.,.,nn,,
Madame,madame,c,,
",",",",s,,
now,now,s,,
an,an,s,,
end,end,s,,
to,to,s,considrd,0
make,make,c,,
",",",",n,,
Deigne,deigne,s,,
a,a,s,considrd,0
simple,simple,s,,
gift,gift,s,,
to,to,s,considrd,0
take,take,c,considrd,0
:,:,n,,
Only,only,s,,
for,for,s,considrd,0
the,the,s,considrd,0
Faeries,faeries,s,,
sake,sake,c,,
",",",",n,,
Who,who,s,considrd,0
about,about,s,,
you,you,s,considrd,0
still,still,s,,
shall,shall,s,considrd,0
wake,wake,c,,
.,.,n,,
It,it,s,strd,0
Is,is,s,strd,1
done,done,s,,
only,only,s,,
to,to,s,considrd,0
supply,supply,c,,
",",",",n,,
His,his,s,considrd,0
suspected,suspected,s,,
courtesy,courtesy,c,strd,0
",",",",n,,
Who,who,s,considrd,0
(,(,c,,
since,since,s,,
THAMYRA,thamyra,s,,
did,did,s,,
dye,dye,c,,
),),n,,
Has,has,s,strd,0
not,not,s,,
brookt,brookt,s,,
a,a,s,considrd,0
ladies,ladies,s,,
eye,eye,c,,
",",",",n,,
Nor,nor,s,,
allowed,allowed,s,strd,0
about,about,s,,
his,his,s,considrd,0
place,place,c,,
",",",",n,,
Any,any,s,,
of,of,s,considrd,0
the,the,s,considrd,0
female,female,s,,
race,race,c,,
.,.,n,,
Only,only,s,,
we,we,s,considrd,0
are,are,s,,
free,free,s,,
to,to,s,considrd,0
trace,trace,n,,
All,all,s,,
his,his,s,considrd,0
grounds,grounds,c,,
",",",",s,,
as,as,s,considrd,0
he,he,s,considrd,0
to,to,s,considrd,0
chase,chase,c,,
.,.,n,,
For,for,s,considrd,0
which,which,s,considrd,0
bounty,bounty,s,strd,0
to,to,s,considrd,0
us,us,s,strd,0
lent,lent,c,,
",",",",n,,
Of,of,s,considrd,0
him,him,s,,
vnknowledgde,vnknowledgde,c,,
",",",",s,,
or,or,s,considrd,0
unsent,unsent,c,strd,0
",",",",n,,
We,we,s,considrd,0
prepared,prepared,s,strd,0
this,this,s,considrd,0
complement,complement,c,,
",",",",n,,
And,and,s,,
as,as,s,considrd,0
far,far,s,strd,0
from,from,s,,
cheap,cheap,s,strd,0
intent,intent,c,,
",",",",n,,
In,in,s,considrd,0
particular,particular,s,,
to,to,s,considrd,0
feed,feed,c,,
",",",",n,,
Any,any,s,,
hope,hope,s,,
that,that,s,considrd,0
should,should,s,,
succeed,succeed,c,,
.,.,n,,
Or,or,s,considrd,0
our,our,s,,
glory,glory,s,strd,0
by,by,s,considrd,0
the,the,s,considrd,0
deed,deed,c,,
",",",",n,,
As,as,s,considrd,0
your,your,s,,
self,self,s,strd,0
are,are,s,,
from,from,s,,
the,the,s,considrd,0
need,need,c,,
.,.,n,,
Utter,utter,s,strd,0
not,not,c,,
;,;,s,,
we,we,s,considrd,0
you,you,s,considrd,0
implore,implore,c,,
",",",",n,,
Who,who,s,considrd,0
did,did,s,,
give,give,s,strd,0
it,it,c,,
",",",",s,,
nor,nor,s,,
wherefore,wherefore,c,,
.,.,n,,
And,and,s,,
when,when,s,,
ever,ever,s,strd,0
you,you,s,considrd,0
restore,restore,n,,
Your,your,s,,
self,self,s,strd,0
to,to,s,considrd,0
us,us,c,strd,0
",",",",s,,
you,you,s,considrd,0
shall,shall,s,considrd,0
have,have,s,strd,0
more,more,c,,
.,.,n,,
Highest,highest,c,,
",",",",s,,
happyest,happyest,s,,
Queen,queen,s,strd,0
farewell,farewell,c,,
",",",",n,,
But,but,s,,
beware,beware,s,,
you,you,s,considrd,0
do,do,s,strd,0
not,not,s,,
tell,tell,c,,
.,.,nn,,
Not,not,s,,
tell,tell,c,,
?,?,s,,
Ha,ha,c,,
",",",",s,,
ha,ha,c,,
",",",",s,,
I,i,s,considrd,0
could,could,s,,
smile,smile,c,,
",",",",n,,
At,at,s,considrd,0
this,this,s,considrd,0
old,old,c,,
",",",",s,,
and,and,s,,
