token,tokenToMatch,endReason,tag,tagIndex
.,.,s,,
Then,then,s,,
said,said,s,,
I,i,s,considrd,0
to,to,n,considrd,0
my,my,s,considrd,0
self,self,c,,
",",",",s,,
the,the,s,considrd,0
Fool's,fool's,s,,
noo^'d,noo^'d,c,,
",",",",s,,
noo^'d,noo^'d,c,,
",",",",s,,
he,he,s,strd,0
is,is,s,strd,1
smitten,smitten,c,,
.,.,s,,
So,so,s,,
I,i,s,considrd,0
made,made,s,,
it,it,s,,
my,my,s,considrd,0
Business,business,n,,
in,in,s,strd,0
the,the,s,strd,1
Morning,morning,s,,
to,to,s,considrd,0
watch,watch,s,,
the,the,s,considrd,0
Lacky's,lacky's,s,,
going,going,s,,
and,and,s,,
coming,coming,c,,
",",",",s,,
and,and,s,,
would,would,s,strd,0
ask,ask,s,,
'em,'em,s,,
now,now,s,,
and,and,n,,
then,then,c,,
",",",",s,,
Hark,hark,s,,
ye,ye,s,,
good,good,s,,
Boy,boy,c,,
",",",",s,,
tell,tell,s,,
me,me,s,,
ye,ye,s,,
little,little,s,,
Rogue,rogue,s,,
to,to,s,considrd,0
whose,whose,s,,
turn,turn,s,,
fell,fell,s,,
Chyrsis,chyrsis,s,,
last,last,n,,
Night,night,c,,
?,?,s,,
For,for,s,considrd,0
you,you,s,considrd,0
must,must,s,,
know,know,s,,
that,that,s,considrd,0
was,was,s,,
the,the,s,considrd,0
Name,name,s,,
she,she,s,considrd,0
went,went,s,,
by,by,nnn,considrd,0
Very,very,s,,
well,well,c,,
",",",",s,,
Sir,sir,c,,
.,.,nnn,,
They,they,s,strd,0
Would,would,s,strd,1
tell,tell,s,,
me,me,c,,
",",",",s,,
Phedrus,phedrus,c,,
",",",",s,,
Clinie,clinie,c,,
",",",",s,,
or,or,s,considrd,0
Niceratus,niceratus,s,,
perhaps,perhaps,c,,
",",",",s,,
(,(,c,,
for,for,s,considrd,0
those,those,s,,
were,were,s,,
all,all,s,,
in,in,n,considrd,0
with,with,s,considrd,0
her,her,c,,
),),s,,
Ay,ay,c,,
",",",",s,,
Rut,rut,s,,
my,my,s,considrd,0
good,good,s,,
Lads,lads,c,,
",",",",s,,
What,what,s,,
did,did,s,,
Pamphilus,pamphilus,c,,
?,?,s,,
What,what,s,,
did,did,s,,
^e,^e,c,,
?,?,s,,
(,(,c,,
they,they,s,strd,0
would,would,s,strd,1
cry,cry,c,,
),),n,,
Why,why,c,,
?,?,s,,
he,he,s,considrd,0
only,only,s,,
eat,eat,s,,
with,with,s,considrd,0
'em,'em,c,,
",",",",s,,
and,and,s,,
paid,paid,s,,
his,his,s,considrd,0
Club,club,c,,
.,.,s,,
This,this,s,considrd,0
pleased,pleased,s,strd,0
me,me,s,,
to,to,s,considrd,0
the,the,s,considrd,0
very,very,s,,
Soul,soul,c,,
.,.,n,,
So,so,s,,
I,i,s,considrd,0
fell,fell,s,,
to,to,s,considrd,0
pumping,pumping,s,,
'em,'em,s,,
another,another,s,,
time,time,c,,
",",",",s,,
but,but,s,,
not,not,s,,
one,one,s,,
Word,word,s,,
that,that,s,considrd,0
Pamphilus,pamphilus,s,,
had,had,s,considrd,0
ever,ever,n,,
been,been,s,,
dabbling,dabbling,c,,
.,.,s,,
This,this,s,considrd,0
I,i,s,considrd,0
thought,thought,s,,
a,a,s,considrd,0
sufficient,sufficient,s,,
Trial,trial,c,strd,0
",",",",s,,
and,and,s,,
a,a,s,considrd,0
considerable,considerable,s,,
Instance,instance,n,,
of,of,s,considrd,0
his,his,s,considrd,0
Virtue,virtue,c,,
.,.,s,,
For,for,s,considrd,0
he,he,s,considrd,0
that,that,s,considrd,0
has,has,s,considrd,0
to,to,s,considrd,0
do,do,s,,
with,with,s,considrd,0
such,such,s,,
sort,sort,s,,
of,of,s,considrd,0
Cattle,cattle,c,,
",",",",s,,
and,and,s,,
comes,comes,s,,
off,off,n,,
clear,clear,c,,
",",",",s,,
you,you,s,considrd,0
may,may,s,,
safely,safely,s,,
trust,trust,s,,
him,him,s,,
with,with,s,considrd,0
the,the,s,considrd,0
Management,management,s,,
of,of,s,considrd,0
himself,himself,c,,
.,.,s,,
When,when,s,,
others,others,s,,
saw,saw,n,,
how,how,s,,
I,i,s,considrd,0
relish^t,relish^t,s,,
it,it,c,,
",",",",s,,
they,they,s,considrd,0
fell,fell,s,,
in,in,s,considrd,0
one,one,s,,
and,and,s,,
all,all,c,,
",",",",s,,
and,and,s,,
said,said,s,,
a,a,s,considrd,0
hundred,hundred,s,,
fine,fine,s,,
things,things,c,,
",",",",s,,
I,i,n,considrd,0
warrant,warrant,s,,
ye,ye,c,,
",",",",s,,
what,what,s,,
a,a,s,considrd,0
Blessed,blessed,s,,
Father,father,s,,
I,i,s,considrd,0
was,was,s,,
to,to,s,considrd,0
have,have,s,considrd,0
such,such,s,,
a,a,s,considrd,0
towardly,towardly,s,,
Son,son,c,,
.,.,s,,
--,--,s,,
In,in,s,considrd,0
one,one,n,,
Word,word,c,,
",",",",s,,
the,the,s,considrd,0
Reputation,reputation,s,,
of,of,s,considrd,0
it,it,s,,
wrought,wrought,s,,
so,so,s,,
upon,upon,s,,
my,my,s,considrd,0
Neighbor,neighbor,s,strd,0
Chremes,chremes,c,,
",",",",s,,
that,that,s,considrd,0
nothing,nothing,n,,
would,would,s,,
serve,serve,s,,
him,him,c,,
",",",",s,,
but,but,s,,
a,a,s,considrd,0
Match,match,s,,
between,between,s,,
my,my,s,considrd,0
Son,son,s,,
and,and,s,,
his,his,s,considrd,0
Daughter,daughter,c,,
",",",",s,,
with,with,s,considrd,0
a,a,s,considrd,0
good,good,n,,
Portion,portion,s,,
over,over,s,considrd,0
and,and,s,,
above,above,s,,
too,too,c,,
",",",",s,,
The,the,s,considrd,0
Proposal,proposal,s,,
took,took,c,,
",",",",s,,
we,we,s,considrd,0
both,both,s,,
agreed,agreed,s,,
upon,upon,c,strd,0
it,it,c,strd,1
",",",",s,,
and,and,s,,
this,this,n,considrd,0
was,was,s,,
to,to,s,strd,0
have,have,s,strd,1
been,been,s,,
the,the,s,considrd,0
Wedding,wedding,nnn,strd,0
Day,day,nnn,strd,1
Very,very,s,,
good,good,c,,
",",",",s,,
And,and,s,,
what,what,s,,
obstruction,obstruction,s,,
now,now,c,,
?,?,nnn,,
I,i,s,strd,0
Will,will,s,strd,1
tell,tell,s,,
ye,ye,c,,
.,.,s,,
--,--,s,,
In,in,s,considrd,0
a,a,s,considrd,0
very,very,s,,
few,few,s,,
days,days,s,,
whilst,whilst,s,,
this,this,s,considrd,0
was,was,s,,
doing,doing,c,,
",",",",s,,
Chyrsis,chyrsis,s,,
dies,dies,s,,
--,--,nnn,,
In,in,s,considrd,0
a,a,s,considrd,0
good,good,s,,
hour,hour,c,,
",",",",s,,
Sir,sir,c,,
.,.,s,,
We,we,s,considrd,0
are,are,s,,
all,all,s,,
made,made,s,,
then,then,c,,
.,.,s,,
To,to,s,considrd,0
be,be,s,considrd,0
free,free,s,,
with,with,s,considrd,0
ye,ye,c,,
",",",",s,,
I,i,s,considrd,0
did,did,s,,
n't,n't,s,,
like,like,n,,
this,this,s,considrd,0
same,same,s,,
Chrysis,chrysis,nnn,,
My,my,s,considrd,0
Son,son,c,,
",",",",s,,
you,you,s,considrd,0
must,must,s,,
know,know,c,,
",",",",s,,
and,and,s,,
the,the,s,considrd,0
humble,humble,s,,
Servants,servants,s,,
of,of,s,considrd,0
Chrysis,chrysis,s,,
were,were,s,,
together,together,c,,
",",",",s,,
and,and,n,,
together,together,s,,
took,took,s,,
care,care,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Funeral,funeral,c,,
:,:,s,,
He,he,s,considrd,0
was,was,s,,
really,really,s,,
sad,sad,c,,
",",",",s,,
and,and,s,,
now,now,s,,
and,and,s,,
then,then,s,,
dropped,dropped,s,strd,0
a,a,n,considrd,0
Tear,tear,c,,
",",",",s,,
which,which,s,considrd,0
I,i,s,considrd,0
did,did,s,,
n't,n't,s,,
dislike,dislike,c,,
.,.,s,,
For,for,c,considrd,0
",",",",s,,
thought,thought,s,,
I,i,c,considrd,0
",",",",s,,
He,he,s,considrd,0
that,that,s,considrd,0
is,is,s,considrd,0
so,so,s,,
much,much,s,,
moved,moved,c,,
",",",",s,,
and,and,n,,
upon,upon,s,,
such,such,s,,
slender,slender,s,,
acquaintance,acquaintance,c,,
",",",",s,,
What,what,s,,
if,if,s,,
she,she,s,considrd,0
had,had,s,considrd,0
been,been,s,,
his,his,s,considrd,0
own,own,s,,
Mistress,mistress,c,strd,0
?,?,s,,
How,how,n,,
would,would,s,strd,0
he,he,s,considrd,0
take,take,s,considrd,0
on,on,s,,
if,if,s,,
I,i,s,considrd,0
should,should,s,,
die,die,c,,
?,?,s,,
All,all,s,,
this,this,s,considrd,0
I,i,s,considrd,0
looked,looked,s,strd,0
upon,upon,s,,
to,to,s,considrd,0
be,be,s,considrd,0
the,the,s,considrd,0
Effects,effects,s,,
of,of,n,considrd,0
good,good,s,,
Nature,nature,c,,
",",",",s,,
and,and,s,,
a,a,s,considrd,0
sweet,sweet,s,,
Temper,temper,c,,
.,.,s,,
--,--,s,,
To,to,s,considrd,0
c^nclude,c^nclude,c,,
",",",",s,,
I,i,s,considrd,0
my,my,s,considrd,0
self,self,s,,
to,to,s,considrd,0
humor,humor,s,strd,0
him,him,s,,
went,went,n,,
also,also,s,,
to,to,s,considrd,0
the,the,s,considrd,0
Funeral,funeral,s,,
without,without,s,,
suspecting,suspecting,s,,
any,any,s,,
thing,thing,nnn,,
How,how,c,,
",",",",s,,
Sir,sir,c,,
!,!,s,,
And,and,s,,
what,what,s,,
then,then,c,,
?,?,nnn,,
I,i,s,strd,0
Will,will,s,strd,1
tell,tell,s,,
ye,ye,s,,
--,--,s,,
The,the,s,considrd,0
Body,body,s,,
is,is,s,considrd,0
brought,brought,s,,
out,out,c,,
",",",",s,,
the,the,s,considrd,0
Company,company,s,,
moves,moves,c,,
",",",",s,,
and,and,s,,
