token,tokenToMatch,endReason,tag,tagIndex
indow,indow,s,,
me,me,s,,
in,in,s,considrd,0
my,my,s,considrd,0
fathers,fathers,s,,
absence,absence,c,,
?,?,nn,,
True,true,s,,
virtue,virtue,s,strd,0
daughter,daughter,c,,
",",",",s,,
if,if,s,,
he,he,s,considrd,0
be,be,s,considrd,0
in,in,s,considrd,0
presence,presence,c,,
:,:,n,,
Ah,ah,s,,
look,look,s,strd,0
on,on,s,,
these,these,s,,
you,you,s,considrd,0
care,care,s,,
desiring,desiring,s,,
eyes,eyes,c,strd,0
",",",",n,,
These,these,s,,
cannot,cannot,s,,
speak,speak,c,strd,0
",",",",s,,
for,for,s,considrd,0
woe,woe,s,strd,0
clogs,clogs,s,,
up,up,s,strd,0
their,their,s,considrd,0
tongs,tongs,n,,
Thus,thus,s,,
silent,silent,s,,
misery,misery,s,strd,0
tells,tells,s,,
mourning,mourning,s,,
grief,grief,c,strd,0
",",",",n,,
Go,go,s,,
to,to,s,considrd,0
poor,poor,s,strd,0
souls,souls,s,strd,0
and,and,s,,
hide,hide,s,,
you,you,s,considrd,0
from,from,s,,
a,a,s,considrd,0
storm,storm,c,strd,0
",",",",n,,
The,the,s,considrd,0
hands,hands,s,,
are,are,s,,
pressed,pressed,s,strd,0
to,to,s,considrd,0
rob,rob,s,,
you,you,s,considrd,0
of,of,s,considrd,0
your,your,s,,
own,own,c,strd,0
",",",",n,,
Go,go,s,,
in,in,s,considrd,0
poor,poor,s,strd,0
souls,souls,c,strd,0
",",",",s,,
weep,weep,s,,
less,less,c,strd,0
",",",",s,,
endeavor,endeavor,s,strd,0
more,more,c,,
",",",",n,,
Have,have,s,strd,0
forces,forces,s,strd,0
grief,grief,c,strd,0
",",",",s,,
danger,danger,s,,
keeps,keeps,s,strd,0
the,the,s,considrd,0
door,door,c,strd,0
.,.,nn,,
Seruio,seruio,s,,
stand,stand,s,,
forth,forth,c,,
",",",",s,,
if,if,s,,
thy,thy,s,considrd,0
important,important,s,,
wrongs,wrongs,s,strd,0
be,be,s,considrd,0
such,such,c,,
",",",",n,,
Discourse,discourse,s,,
to,to,s,considrd,0
me,me,s,,
and,and,s,,
to,to,s,considrd,0
these,these,s,,
aged,aged,s,,
peers,peers,c,strd,0
",",",",n,,
Thy,thy,s,considrd,0
cause,cause,s,,
of,of,s,considrd,0
grief,grief,c,strd,0
",",",",s,,
and,and,s,,
what,what,s,,
thou,thou,s,considrd,0
do,do,s,strd,0
require,require,c,,
.,.,nn,,
Most,most,s,,
mighty,mighty,s,strd,0
Duke,duke,c,,
",",",",s,,
most,most,s,,
worthy,worthy,s,strd,0
Senators,senators,c,strd,0
",",",",n,,
I,i,s,considrd,0
come,come,s,,
before,before,s,,
this,this,s,considrd,0
sacred,sacred,s,,
judgment,judgment,s,strd,0
seat,seat,c,strd,0
",",",",n,,
Not,not,s,,
traind,traind,s,,
by,by,s,considrd,0
hate,hate,c,,
",",",",s,,
as,as,s,considrd,0
many,many,s,,
worldlings,worldlings,s,,
be,be,c,considrd,0
",",",",n,,
But,but,s,,
these,these,s,,
old,old,s,strd,0
years,years,s,strd,0
inioynd,inioynd,s,,
me,me,s,,
charity,charity,c,strd,0
",",",",n,,
But,but,s,,
urged,urged,s,strd,0
by,by,s,considrd,0
wrongs,wrongs,c,,
",",",",s,,
compeld,compeld,s,,
by,by,s,considrd,0
heinous,heinous,s,strd,0
deeds,deeds,c,,
",",",",n,,
To,to,s,considrd,0
quicken,quicken,s,,
justice,justice,s,strd,0
in,in,s,considrd,0
your,your,s,,
reverent,reverent,s,strd,0
ears,ears,c,strd,0
",",",",n,,
Call,call,s,,
to,to,s,considrd,0
remembrance,remembrance,s,,
Prince,prince,s,,
and,and,s,,
worthy,worthy,s,strd,0
peers,peers,c,strd,0
",",",",n,,
The,the,s,considrd,0
faithful,faithful,s,strd,0
service,service,s,strd,0
for,for,s,considrd,0
these,these,s,,
many,many,s,,
years,years,c,strd,0
",",",",n,,
That,that,s,considrd,0
stout,stout,s,,
Sempronio,sempronio,s,,
did,did,s,,
unto,unto,s,strd,0
the,the,s,considrd,0
State,state,c,,
",",",",n,,
In,in,s,considrd,0
remembrance,remembrance,s,,
whereof,whereof,c,,
",",",",n,,
Old,old,s,strd,0
Seruio,seruio,s,,
humbling,humbling,s,,
him,him,s,,
upon,upon,s,strd,0
his,his,s,considrd,0
knees,knees,c,,
",",",",n,,
Beseeches,beseeches,s,strd,0
justice,justice,s,strd,0
against,against,s,strd,0
proud,proud,s,,
Lelio,lelio,c,,
",",",",n,,
Who,who,s,considrd,0
cruelly,cruelly,s,,
has,has,s,strd,0
slain,slain,s,strd,0
in,in,s,considrd,0
single,single,s,,
fight,fight,c,,
",",",",n,,
The,the,s,considrd,0
sole,sole,s,,
and,and,s,,
only,only,s,strd,0
heir,heir,s,strd,0
of,of,s,considrd,0
that,that,s,considrd,0
stout,stout,s,,
race,race,c,,
.,.,nn,,
Seruio,seruio,s,,
come,come,s,,
hither,hither,s,strd,0
and,and,s,,
possess,possess,s,strd,0
thy,thy,s,considrd,0
place,place,c,,
",",",",n,,
We,we,s,considrd,0
will,will,s,,
consider,consider,s,,
of,of,s,considrd,0
thy,thy,s,considrd,0
injuries,injuries,c,strd,0
.,.,nn,,
Still,still,s,,
let,let,s,,
these,these,s,,
knees,knees,s,,
be,be,s,considrd,0
wedded,wedded,s,,
to,to,s,considrd,0
the,the,s,considrd,0
earth,earth,c,,
",",",",n,,
Still,still,s,,
let,let,s,,
these,these,s,,
tears,tears,s,strd,0
run,run,s,,
floud-like,floud-like,s,,
from,from,s,,
mine,mine,s,,
eyes,eyes,c,strd,0
",",",",n,,
Until,until,s,strd,0
your,your,s,,
grace,grace,s,,
do,do,s,,
execute,execute,s,,
the,the,s,considrd,0
wretch,wretch,c,,
",",",",n,,
That,that,s,considrd,0
thus,thus,s,,
has,has,s,strd,0
slain,slain,s,strd,0
my,my,s,considrd,0
dear,dear,s,strd,0
Sempronio,sempronio,c,,
.,.,nn,,
Thou,thou,s,considrd,0
do,do,s,strd,0
demean,demean,s,strd,0
too,too,s,,
much,much,s,,
intemperance,intemperance,c,,
",",",",n,,
Thou,thou,s,considrd,0
foolish,foolish,s,,
man,man,s,,
arise,arise,c,,
",",",",s,,
do,do,s,,
not,not,s,,
stain,stain,s,,
the,the,s,considrd,0
badge,badge,s,,
of,of,s,considrd,0
age,age,n,,
And,and,s,,
wisdom,wisdom,s,strd,0
by,by,s,considrd,0
misgouernment,misgouernment,c,,
:,:,n,,
Our,our,s,,
senators,senators,s,,
in,in,s,considrd,0
Venice,venice,s,,
are,are,s,,
well,well,s,,
schoold,schoold,s,,
in,in,s,considrd,0
such,such,s,,
haps,haps,c,,
",",",",n,,
And,and,s,,
can,can,s,,
doom,doom,s,strd,0
of,of,s,considrd,0
things,things,c,,
",",",",s,,
not,not,s,,
by,by,s,considrd,0
thy,thy,s,considrd,0
tears,tears,c,strd,0
",",",",n,,
Or,or,s,considrd,0
sorrow,sorrow,s,,
working,working,s,,
words,words,c,strd,0
",",",",n,,
But,but,s,,
by,by,s,considrd,0
the,the,s,considrd,0
truth,truth,s,,
and,and,s,,
estimate,estimate,s,,
of,of,s,considrd,0
acts,acts,c,,
",",",",n,,
Thou,thou,s,considrd,0
say,say,s,strd,0
that,that,s,considrd,0
Lelio,lelio,s,,
slew,slew,s,,
Sempronio,sempronio,c,,
",",",",n,,
But,but,s,,
that,that,s,considrd,0
assertion,assertion,s,,
Seruio,seruio,s,,
must,must,s,,
not,not,s,,
serve,serve,c,strd,0
",",",",n,,
To,to,s,considrd,0
prove,prove,s,strd,0
him,him,s,,
guilty,guilty,s,strd,0
in,in,s,considrd,0
these,these,s,,
reverend,reverend,s,strd,0
ears,ears,c,strd,0
.,.,nn,,
What,what,s,,
proofs,proofs,s,strd,0
produces,produces,s,strd,0
Seruio,seruio,s,,
to,to,s,considrd,0
the,the,s,considrd,0
state,state,c,,
",",",",n,,
To,to,s,considrd,0
prove,prove,s,strd,0
Lord,lord,s,,
Lelio,lelio,s,,
guilty,guilty,s,strd,0
of,of,s,considrd,0
the,the,s,considrd,0
murder,murder,c,strd,0
",",",",n,,
When,when,s,,
as,as,s,considrd,0
