token,tokenToMatch,endReason,tag,tagIndex
the,the,s,considrd,0
trust,trust,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Towne-Pen-and-Inkehorne,towne-pen-and-inkehorne,c,,
",",",",n,,
committed,committed,s,,
to,to,s,considrd,0
the,the,s,considrd,0
Sure-tie,sure-tie,s,,
of,of,s,considrd,0
his,his,s,considrd,0
Girdle,girdle,c,,
",",",",s,,
from,from,s,,
the,the,s,considrd,0
whole,whole,s,,
Corporation,corporation,nnn,,
This,this,s,considrd,0
is,is,s,considrd,0
the,the,s,considrd,0
more,more,s,,
remarkable,remarkable,s,strd,0
man,man,c,,
",",",",s,,
my,my,s,considrd,0
very,very,s,,
good,good,s,,
Lord,lord,c,,
;,;,s,,
Father,father,s,,
Fitz-ale,fitz-ale,c,,
",",",",s,,
Herald,herald,n,,
of,of,s,considrd,0
Darbie,darbie,c,,
",",",",s,,
Light,light,c,,
",",",",s,,
and,and,s,,
Lantern,lantern,s,strd,0
of,of,s,considrd,0
both,both,s,,
Counties,counties,c,,
;,;,s,,
the,the,s,considrd,0
learned,learned,s,,
Antiquarie,antiquarie,s,,
of,of,s,strd,0
the,the,n,considrd,0
North,north,c,,
:,:,s,,
Conserver,conserver,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Records,records,s,,
of,of,s,considrd,0
either,either,s,,
Forest,forest,c,strd,0
",",",",s,,
as,as,s,considrd,0
witnesses,witnesses,s,strd,0
the,the,s,considrd,0
brief,brief,n,strd,0
Tabard,tabard,c,,
",",",",s,,
or,or,s,considrd,0
Coat,coat,s,,
Armor,armor,s,strd,0
he,he,s,considrd,0
carries,carries,c,,
",",",",s,,
being,being,s,,
an,an,s,,
industrious,industrious,s,,
Collection,collection,s,,
of,of,s,considrd,0
all,all,s,,
the,the,n,considrd,0
written,written,c,,
",",",",s,,
or,or,s,considrd,0
reported,reported,s,,
Wonders,wonders,s,,
of,of,s,considrd,0
the,the,s,considrd,0
Peake,peake,nn,,
SAint,saint,s,considrd,0
Anne,anne,s,,
of,of,s,considrd,0
Buxstons,buxstons,s,,
boiling,boiling,s,strd,0
Well,well,c,,
",",",",n,,
Or,or,s,considrd,0
Elden,elden,s,,
bottomless,bottomless,c,strd,0
",",",",s,,
like,like,s,,
